route,city,template,status,editorial_judgment,current_images,current_video_embeds,current_documents,acquisition_gaps
"/new-york/day/06-production-commerce","new-york","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/new-york/day/07-memory","new-york","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/milan","milan","index / editorial utility","partial — installed media present; uniqueness/relevance review required","editorial typography with a route-specific documentary or evidence anchor","/assets/media/milan-fashion-week.jpg","","",""
"/milan/days","milan","index / editorial utility","gap","editorial typography with a route-specific documentary or evidence anchor","","","","no installed image or video"
"/milan/objects","milan","object desk","partial — installed media present; uniqueness/relevance review required","documentary object image/video/document preview","","https://www.youtube-nocookie.com/embed/PKMQCwTfcaE","",""
"/milan/kits","milan","production desk","gap","finished platform-output contact sheet + downloadable assets","","","/milan/kits/day-1.json | /milan/kits/day-1.md | /milan/kits/day-2.json | /milan/kits/day-2.md | /milan/kits/day-3.json | /milan/kits/day-3.md | /milan/kits/day-4.json | /milan/kits/day-4.md | /milan/kits/day-5.json | /milan/kits/day-5.md | /milan/kits/day-6.json | /milan/kits/day-6.md | /milan/kits/day-7.json | /milan/kits/day-7.md","no installed image or video | render finished carousel, Pinterest, thumbnail, and vertical-video visual files"
"/milan/sources","milan","source desk","intentional typography/document-led candidate; source-specific preview still required","source-specific document preview or evidence typography; avoid decorative photography","","","https://www.cameramoda.it/media/pdf/manifesto_sostenibilita_en.pdf | /milan/data/claims.json | /milan/data/sources.json","no installed image or video"
"/milan/day/01-invitation-trademark","milan","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/milan/day/02-city-palazzo","milan","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/milan/day/03-craft-machine","milan","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/milan/day/04-digital-hub","milan","evidence day","partial — installed media present; uniqueness/relevance review required","authorized video + evidence typography","","https://www.youtube-nocookie.com/embed/PKMQCwTfcaE","",""
"/milan/day/05-showroom-order","milan","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/milan/day/06-traceability","milan","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/milan/day/07-archive-memory","milan","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/paris","paris","index / editorial utility","partial — installed media present; uniqueness/relevance review required","editorial typography with a route-specific documentary or evidence anchor","/assets/media/paris-fashion-week.jpg","","",""
"/paris/days","paris","index / editorial utility","gap","editorial typography with a route-specific documentary or evidence anchor","","","","no installed image or video"
"/paris/objects","paris","object desk","gap","documentary object image/video/document preview","","","","no installed image or video"
"/paris/kits","paris","production desk","gap","finished platform-output contact sheet + downloadable assets","","","/paris/kits/day-1.json | /paris/kits/day-1.md | /paris/kits/day-2.json | /paris/kits/day-2.md | /paris/kits/day-3.json | /paris/kits/day-3.md | /paris/kits/day-4.json | /paris/kits/day-4.md | /paris/kits/day-5.json | /paris/kits/day-5.md | /paris/kits/day-6.json | /paris/kits/day-6.md | /paris/kits/day-7.json | /paris/kits/day-7.md","no installed image or video | render finished carousel, Pinterest, thumbnail, and vertical-video visual files"
"/paris/sources","paris","source desk","intentional typography/document-led candidate; source-specific preview still required","source-specific document preview or evidence typography; avoid decorative photography","","","/paris/data/claims.json | /paris/data/sources.json","no installed image or video"
"/paris/day/01-calendar-code","paris","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/paris/day/02-monument-stage","paris","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/paris/day/03-official-image","paris","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/paris/day/04-online-week","paris","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/paris/day/05-showroom-network","paris","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/paris/day/06-product-passport","paris","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/paris/day/07-memory-infrastructure","paris","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/shanghai","shanghai","index / editorial utility","partial — installed media present; uniqueness/relevance review required","editorial typography with a route-specific documentary or evidence anchor","/assets/media/shanghai-fashion-week.jpg","","",""
"/shanghai/days","shanghai","index / editorial utility","gap","editorial typography with a route-specific documentary or evidence anchor","","","","no installed image or video"
"/shanghai/objects","shanghai","object desk","gap","documentary object image/video/document preview","","","","no installed image or video"
"/shanghai/kits","shanghai","production desk","gap","finished platform-output contact sheet + downloadable assets","","","/shanghai/kits/day-1.json | /shanghai/kits/day-1.md | /shanghai/kits/day-2.json | /shanghai/kits/day-2.md | /shanghai/kits/day-3.json | /shanghai/kits/day-3.md | /shanghai/kits/day-4.json | /shanghai/kits/day-4.md | /shanghai/kits/day-5.json | /shanghai/kits/day-5.md | /shanghai/kits/day-6.json | /shanghai/kits/day-6.md | /shanghai/kits/day-7.json | /shanghai/kits/day-7.md","no installed image or video | render finished carousel, Pinterest, thumbnail, and vertical-video visual files"
"/shanghai/sources","shanghai","source desk","intentional typography/document-led candidate; source-specific preview still required","source-specific document preview or evidence typography; avoid decorative photography","","","/shanghai/data/claims.json | /shanghai/data/sources.json","no installed image or video"
"/shanghai/day/01-schedule-interface","shanghai","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/shanghai/day/02-factory-city-stage","shanghai","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/shanghai/day/03-social-image-loop","shanghai","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/shanghai/day/04-cloud-runway","shanghai","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/shanghai/day/05-order-city","shanghai","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/shanghai/day/06-product-identity","shanghai","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/shanghai/day/07-distributed-memory","shanghai","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/copenhagen","copenhagen","index / editorial utility","partial — installed media present; uniqueness/relevance review required","editorial typography with a route-specific documentary or evidence anchor","/assets/media/copenhagen-fashion-week.jpg","","",""
"/copenhagen/days","copenhagen","index / editorial utility","gap","editorial typography with a route-specific documentary or evidence anchor","","","","no installed image or video"
"/copenhagen/objects","copenhagen","object desk","gap","documentary object image/video/document preview","","","","no installed image or video"
"/copenhagen/kits","copenhagen","production desk","gap","finished platform-output contact sheet + downloadable assets","","","/copenhagen/kits/day-1.json | /copenhagen/kits/day-1.md | /copenhagen/kits/day-2.json | /copenhagen/kits/day-2.md | /copenhagen/kits/day-3.json | /copenhagen/kits/day-3.md | /copenhagen/kits/day-4.json | /copenhagen/kits/day-4.md | /copenhagen/kits/day-5.json | /copenhagen/kits/day-5.md | /copenhagen/kits/day-6.json | /copenhagen/kits/day-6.md | /copenhagen/kits/day-7.json | /copenhagen/kits/day-7.md","no installed image or video | render finished carousel, Pinterest, thumbnail, and vertical-video visual files"
"/copenhagen/sources","copenhagen","source desk","intentional typography/document-led candidate; source-specific preview still required","source-specific document preview or evidence typography; avoid decorative photography","","","/copenhagen/data/claims.json | /copenhagen/data/sources.json","no installed image or video"
"/copenhagen/day/01-proof-of-entry","copenhagen","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/copenhagen/day/02-time-and-access","copenhagen","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/copenhagen/day/03-temporary-material-city","copenhagen","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/copenhagen/day/04-rights-in-the-room","copenhagen","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/copenhagen/day/05-screening-machine","copenhagen","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/copenhagen/day/06-passport-layer","copenhagen","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/copenhagen/day/07-memory-as-proof","copenhagen","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/tokyo","tokyo","index / editorial utility","partial — installed media present; uniqueness/relevance review required","editorial typography with a route-specific documentary or evidence anchor","/assets/media/tokyo-fashion-week.jpg","","",""
"/tokyo/days","tokyo","index / editorial utility","gap","editorial typography with a route-specific documentary or evidence anchor","","","","no installed image or video"
"/tokyo/objects","tokyo","object desk","gap","documentary object image/video/document preview","","","","no installed image or video"
"/tokyo/kits","tokyo","production desk","gap","finished platform-output contact sheet + downloadable assets","","","/tokyo/kits/day-1.json | /tokyo/kits/day-1.md | /tokyo/kits/day-2.json | /tokyo/kits/day-2.md | /tokyo/kits/day-3.json | /tokyo/kits/day-3.md | /tokyo/kits/day-4.json | /tokyo/kits/day-4.md | /tokyo/kits/day-5.json | /tokyo/kits/day-5.md | /tokyo/kits/day-6.json | /tokyo/kits/day-6.md | /tokyo/kits/day-7.json | /tokyo/kits/day-7.md","no installed image or video | render finished carousel, Pinterest, thumbnail, and vertical-video visual files"
"/tokyo/sources","tokyo","source desk","intentional typography/document-led candidate; source-specific preview still required","source-specific document preview or evidence typography; avoid decorative photography","","","/tokyo/data/claims.json | /tokyo/data/sources.json","no installed image or video"
"/tokyo/day/01-calendar-gate","tokyo","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/tokyo/day/02-shibuya-network","tokyo","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/tokyo/day/03-streaming-stage","tokyo","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/tokyo/day/04-bilingual-interface","tokyo","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/tokyo/day/05-textile-upstream","tokyo","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/tokyo/day/06-award-machine","tokyo","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/tokyo/day/07-seasonal-memory","tokyo","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/publication/day-1","london","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/london-fashion-week.jpg | /assets/evidence/london-day-1.svg","","/asset-kits/day-1.json | /asset-kits/day-1.md | /assets/evidence/london-day-1.svg | /kits/day-1.md | /kits/day-1.json | /kits/day-1.md | /kits/day-1.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/publication/day-2","london","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/london-fashion-week.jpg | /assets/evidence/london-day-2.svg","","/asset-kits/day-2.json | /asset-kits/day-2.md | /assets/evidence/london-day-2.svg | /kits/day-2.md | /kits/day-2.json | /kits/day-2.md | /kits/day-2.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/publication/day-3","london","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/london-fashion-week.jpg | /assets/evidence/london-day-3.svg","","/asset-kits/day-3.json | /asset-kits/day-3.md | /assets/evidence/london-day-3.svg | /kits/day-3.md | /kits/day-3.json | /kits/day-3.md | /kits/day-3.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/publication/day-4","london","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/london-fashion-week.jpg | /assets/evidence/london-day-4.svg","","/asset-kits/day-4.json | /asset-kits/day-4.md | /assets/evidence/london-day-4.svg | /kits/day-4.md | /kits/day-4.json | /kits/day-4.md | /kits/day-4.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/publication/day-5","london","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/london-fashion-week.jpg | /assets/evidence/london-day-5.svg","","/asset-kits/day-5.json | /asset-kits/day-5.md | /assets/evidence/london-day-5.svg | /kits/day-5.md | /kits/day-5.json | /kits/day-5.md | /kits/day-5.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/publication/day-6","london","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/london-fashion-week.jpg | /assets/evidence/london-day-6.svg","","https://www.britishfashioncouncil.co.uk/uploads/files/1/LFW%20Web%20Development%20ITT%20July%202021%20v2.pdf | /asset-kits/day-6.json | /asset-kits/day-6.md | /assets/evidence/london-day-6.svg | /kits/day-6.md | /kits/day-6.json | /kits/day-6.md | /kits/day-6.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/publication/day-7","london","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/london-fashion-week.jpg | /assets/evidence/london-day-7.svg","","/asset-kits/day-7.json | /asset-kits/day-7.md | /assets/evidence/london-day-7.svg | /kits/day-7.md | /kits/day-7.json | /kits/day-7.md | /kits/day-7.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/publication","london","index / editorial utility","partial — installed media present; uniqueness/relevance review required","editorial typography with a route-specific documentary or evidence anchor","/assets/media/london-fashion-week.jpg","","",""
"/new-york/publication/day-1","new-york","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/nyc-fashion-week.jpg | /assets/evidence/new-york-day-1.svg","","/new-york/asset-kits/day-1.json | /new-york/asset-kits/day-1.md | /assets/evidence/new-york-day-1.svg | /new-york/kits/day-1.md | /new-york/kits/day-1.json | /new-york/kits/day-1.md | /new-york/kits/day-1.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/new-york/publication/day-2","new-york","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/nyc-fashion-week.jpg | /assets/evidence/new-york-day-2.svg","","/new-york/asset-kits/day-2.json | /new-york/asset-kits/day-2.md | /assets/evidence/new-york-day-2.svg | /new-york/kits/day-2.md | /new-york/kits/day-2.json | /new-york/kits/day-2.md | /new-york/kits/day-2.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/new-york/publication/day-3","new-york","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/nyc-fashion-week.jpg | /assets/evidence/new-york-day-3.svg","","/new-york/asset-kits/day-3.json | /new-york/asset-kits/day-3.md | /assets/evidence/new-york-day-3.svg | /new-york/kits/day-3.md | /new-york/kits/day-3.json | /new-york/kits/day-3.md | /new-york/kits/day-3.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/new-york/publication/day-4","new-york","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/nyc-fashion-week.jpg | /assets/evidence/new-york-day-4.svg","","/new-york/asset-kits/day-4.json | /new-york/asset-kits/day-4.md | /assets/evidence/new-york-day-4.svg | /new-york/kits/day-4.md | /new-york/kits/day-4.json | /new-york/kits/day-4.md | /new-york/kits/day-4.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/new-york/publication/day-5","new-york","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/nyc-fashion-week.jpg | /assets/evidence/new-york-day-5.svg","","/new-york/asset-kits/day-5.json | /new-york/asset-kits/day-5.md | /assets/evidence/new-york-day-5.svg | /new-york/kits/day-5.md | /new-york/kits/day-5.json | /new-york/kits/day-5.md | /new-york/kits/day-5.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/new-york/publication/day-6","new-york","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/nyc-fashion-week.jpg | /assets/evidence/new-york-day-6.svg","","/new-york/asset-kits/day-6.json | /new-york/asset-kits/day-6.md | /assets/evidence/new-york-day-6.svg | /new-york/kits/day-6.md | /new-york/kits/day-6.json | /new-york/kits/day-6.md | /new-york/kits/day-6.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/new-york/publication/day-7","new-york","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/nyc-fashion-week.jpg | /assets/evidence/new-york-day-7.svg","","/new-york/asset-kits/day-7.json | /new-york/asset-kits/day-7.md | /assets/evidence/new-york-day-7.svg | /new-york/kits/day-7.md | /new-york/kits/day-7.json | /new-york/kits/day-7.md | /new-york/kits/day-7.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/new-york/publication","new-york","index / editorial utility","partial — installed media present; uniqueness/relevance review required","editorial typography with a route-specific documentary or evidence anchor","/assets/media/nyc-fashion-week.jpg","","",""
"/milan/publication/day-1","milan","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/milan-fashion-week.jpg | /assets/evidence/milan-day-1.svg","","/milan/asset-kits/day-1.json | /milan/asset-kits/day-1.md | /assets/evidence/milan-day-1.svg | /milan/kits/day-1.md | /milan/kits/day-1.json | /milan/kits/day-1.md | /milan/kits/day-1.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/milan/publication/day-2","milan","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/milan-fashion-week.jpg | /assets/evidence/milan-day-2.svg","","/milan/asset-kits/day-2.json | /milan/asset-kits/day-2.md | /assets/evidence/milan-day-2.svg | /milan/kits/day-2.md | /milan/kits/day-2.json | /milan/kits/day-2.md | /milan/kits/day-2.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
"/milan/publication/day-3","milan","publication exhibition","partial — repeated city witness plus unique evidence graphic","image + evidence graphic; add day-specific film/document when evidentiary","/assets/media/milan-fashion-week.jpg | /assets/evidence/milan-day-3.svg","","/milan/asset-kits/day-3.json | /milan/asset-kits/day-3.md | /assets/evidence/milan-day-3.svg | /milan/kits/day-3.md | /milan/kits/day-3.json | /milan/kits/day-3.md | /milan/kits/day-3.json","unique day-specific documentary image/video/document not installed | finished raster/social exports not installed"
